sentence,review_title,Sentiment_Type
everything quick check well decorated room hubbys birthday took us surprise one year old baby really enjoyed birthday set room even cake delicious breakfast lunch menu vast didnt worry food really good indian menu overall loved short break,Happy Time,1
75th birthday celebrations father one word event perfect looked upon well mr wadhwa mr ronald ms monal requests taken care specially chef regarding food hotel becomes good good people handling sofitel good team makes everything perfect highly recommended,75th birthday celebrations,1
beautiful hotel great facilities decor staff made difference stay staff every time went way create memorable experience breakfast staff bar staffrohit housekeeping staffmayur prathmesh including duty manager ahuja accommodating returning tiring day find bath ready finding beautiful book mark hope note housekeeping team bar staff surprising every day refreshing drink everything personalized staff seemed genuine welcoming loved,Exceptional service ,1
wonderful stay everything hotel wonderful four restaurants treated us royalty attentive room service quick delicious spa pool felt luxurious nice view loved every thing club access hotel facilities wonderful staff truly exceptional every single encounter every single time made feel special welcomed 100 perfect every single time thats really remarkable moment arrive club milliesime staff became friends looked forward seeing every day stay staff club welcoming attentive anticipate every whim felt completely spoiled kind attentions vikas laxmi deepak rizvin dhruv took,Wonderful stay,1
stayed 12th floor luxury room views great loved welcome cake letter prepared us toiletries coffee great wifi catch work food amazing staff helpful friendly helped us sim card avoid waste much time efficient process best luxury affordable price,Amazing place to stay in Mumbai,1
great food great environment courteous service arrangements wonderful everyone enjoyed evening felt pleasant event menu selection hand helped immensely,Family dinner at Jyran,1
found perfect oasis busy mumbai situated 14th floor sofitel hotel club millesime ambassador perfect place start end day terrace though small great evening cocktails smoking friendly service rizvin divya rest team outstanding courteous friendly atmosphere quiet day livening evening sunset cocktails made stay pleasure thanks,Club millesime,1
great experience loved room food amazing try chilly chicken mr yuvraj super helpful made stay worth make sure ask checking hes great,Amazing hotel,1
business trip mumbai 1215 aug 19 stayed hotel sofitel mumbai bkc along two colleagues germany room 1025 picked mumbai airport t1 hotel car brought hotel checkin fast courteous room big clean decor inviting everything place spread breakfast huge literally one food one think breaking fast colleagues enjoyed dal makhani paneer tikka chicken tikka along garlic naan dinner according best dal makhani tasted service prompt always smile tanmoy jahnvi helpful stay quite comfortable checkout,An Enjoyable Stay at Hotel Sofitel Mumbai BKC,1
stayed 5 nights late july arrived late night checking process fast nice room layout quite strange room size smaller expected bathroom small bathhub cause problem closet small much clothes hang closet chance dinner jyran pondichery cafe experienced jyran restaurant nice dinner buffet good pricy without discount expensive find reasonable restaurant ground floor citi tower staff nice helpful,Comfortable,1
fantastic hotel atmosphere really nice liked lobby chandelier came attend meeting really impressed service thank pratik recommending us delhi chaat food festival really loved raj kachori will back soon thank pratik mahesh,Mr Ganesh,1
came business meeting sofitel excellent hotel fantastic service 1 day boardroom meeting pratik dhakrao helped us lot every small small request next time surely will come back,Meeting,1
took club millesome access great decision till date deepak kumbhar went way made us sandwiches per customisation without full time chef visit club access,Awesome hospitality by Deepak Kumbhar,1
spent 2 days sofitel entire city full hotel brimming guests still service exemplary made welcome staff welcoming reception staff executive lounge effortless experience guest definitely reward loyalty makes wonderful experience someone pleasure always,Professional service with a smile,1
opted stay close us embassy facilities location great staff extremely friendly helpful special mention regarding harshi gulati going way help us really needed help visa documents supported us made sure us till issues resolved kudos keep high spirits cheers,Delightful and Fruitful Stay to remember,1
excellent stay hotel besides comfortable convenient staff friendly makes feel home special thanks janvhi pondichery café hotel main restaurant taking good care us,Excellent stay in Sofitel Mumbai BKC,1
much enjoy stay sofitel mumbai bkc staff kind friendly helpful special thanks houskeepers pooja nimand lovely services room clean cozythe crew lounge 14th floor absolutely amazing professionalrizvin deepak always help give good tips no1 hotel mumbai,Hungary,1
fantastic hotel luxurious offers several amenities modern design beautiful pool wonderful gym fantastic spa sofitels greatest amenitie staff attention detail ishaan pooja house keeping excellent representatives sofitel brand thank everything,Superb service and staff,1
come back many many times work decided stay sofitel time several weeks time staff friendly remember great many time restaurant even state wanted food drinks brought exactly way morning especially impressed house keeping pooja ishaan cleaned room well always went extra mile make easier continue staying little things book mark book cable use charge phone put bed dont reach things matter youre staying somewhere long time recommend,Great Service,1
courteous staff door superb ambiance wide spread janhvi polite showed us around guided us took good care us good hospitality nice experience recommend everyone,Memorable Lunch,1
come dinner artisan one best restaurant staff good greet great love big smile faceall friendly awesome place dine,Wonderful place,1
rooms v good club millenium best place evenings drink morning breakfast one must great spreadfor ved non veg service places good,awesome stay,1
sofitel mumbai must always stay visits mumbai well situated close cool area bandra stylish exceptional serviced check gin bar minimum 30 different kinds guns around world restaurant 4th floor indian food best peter staff made us feel welcomed little extra cant wait go back,A gem in Mumbai,1
amazing place care thoughtful gestures quiet efficiency buffet tables almost mile long spreads every land clime gm sous chef personally take care guest,Unbelievable,1
amazing hospitality seamless service makes stay pleasant comfortable really enjoyed time gym pool really well maintained special shoutout vinod imran providing us best experience,Great stay and facilities,1
2nd stay sofitel mumbai bkc 1st stay already impressed friendly wonderful warm welcome always along lovely smile insuite checkin mrs shilpa labuktongbam excellent briefing room hotel great suggestions evenings weekends checkin 2nd stay regular experience arrived middle night everything stay far better platinum member received upgrade nice suite room mr parag shah director rooms mrs shilpa kosambia director housekeeping helped lot even provided extra wardrobe per request staying 2 weeks executive chef neeraj great,Amazing and very personalized service Welcome home to Sofitel,1
second stay hotel truly looking forward last experience entire team disappointed service exceptional special mention varun helped recommendations explanation various options restaurant service made evening pleasant experience,Excellent service again,1
checking thursday smooth efficient staff accommodated early arrival fuss wife one best treatments spa hired hotel driver day brilliant nilesho professional driver humbly ive lot days took exceptional care family whilst mumbai lounge upstairs fantastic specially emmanuel gentle service accommodating spirit every hotel dream team entire team great specially shout nilesho driver emmanuel host lounge thank,Brilliant service the moment you arrive,1
2nd time revisit india sofitel mumbai bkc certainly top notch service especially memorable heart felt wife well greeted serve raj pondichery cafe even personally went back kitchen find chef hand written full cooking recipe mint chutney noticed wife really enjoyed moved touched kind gesture needlessly say really enjoy top notch hospitality good quality food will certainly come back stay hotel course visit raj restaurant best regards milton jowuen ng malaysia,Best service by Raj (of Pondichery Cafe),1
wonderful experience tuskers sudden plan great comfort zonethanks tuskers team especially prakash pradeep ruchika great genuine service excellent quality food,Great Service,1
quality food comfort service everything top notch best place business meetings family event requests team will make stayed hotel 9 days period daily breakfast pondechery cafe time attended janvi tanmoy pal amazing personalities good customer care superb quality work soar throat janvi got ginger shot kind really helped clear keep good work best entire team sattesh,Amazing place to be,1
good hospitality team always ready serve clienthope visit keep special thanks mrmayur mrakshay patelmrakshay s lovely greet hospitality event,Aditya Birla Capital Business Conference,1
sofitel good hotel felt comfortable freindly atmosphere service provide really appreciated special thanks mr akshay patel mr mayur mr durgesh sachin providing best hospitality overall good experience will definitely recommend others awaiting much future contracts,Google Cloud Event,1
sofitel best hotel mumbai reason chose sofitel event time held event flawless staff mahesh kotagiri jhonny clariston akshay patel supportive always thanks co ordination support will look forward every time,Business Meet,1
service brilliant sofitel banquet team event special thanks akshay patel sachin mahesh pratik rahul entire team good job food great cleanliness good,Great service and hospitality,1
stayed night sofitelbkc mumbai checkin quick somaya gupte gave us option upgrade price room 14th fl nice room respect size plan room bathroom etc 14 fl special lounge fantastic nice view raining additional romantic advantage high tea perfect vikas team helpful even mocktale cocktail good nice salads startersthanks vikas kristen manager overall charge contently taking rounds taking care guest nice sauna steam jacuzzi huge niceeven attended morning breakfast pondicherry really one largest cater anyone asians british americans zaid really took good care,Nice Stay and good food,1
great starting people main entrance mr kulvinder example breakfast delightful experience large buffet want example strong hot chocolate minimum sugar will manage dinner nice large selection wines maps vineyards exception colombard written map discussion wine will add colombard map,Great experience  everybody is willing to help you,1
wonderful hotel helpful friendly professional staff room spacious breakfast great well many indian international options cant comment dining options much buffet dinner good well,Fantastic stay,1
back favorite hotel mumbai nice airport pickup bmw car dropped airport time needed really extra help staff reason still unknown passport found singapore airlines office thanks professional staff sofitel bkc organized pickup immediately sleep peacefully,Another visit to Mumbai,1
visited stayed sofitel mumbai bkc numerous times business meetings proximity financial institutions makes best location meetups staff service great lounge 1the 4th floor makes difference catch stellar views mumbai work done special mention dhruv harsh keishing emma kristen staff made stay memorable,My favorite property in BKC,1
staying consecutive years now service major part returning guest staffs always helpful active enough participate needs makes daily stay free tiny problems,As a returning guest,-1
stayed night business visit mumbai location hotel good ambience front hotel famous dhirubhai ambani public school sebi icici pnb nse bank india nabard etc headquarters round corner american embassy lounge 14th floor quite good provides view city balcony enjoyed cup tea drizzles overall good stay business district bkc,Superb Hotel in Mumbai Business District,1
loved staying sofitel bkc mumbai best experience actual 5 star hotel specially ms pooja helped family every way possible guiding us room areas hotel following instructions t birthday celebration mom arrangements beautiful mom happy smiling time thank lovely experience stay,Very attentive staff,1
excellent dining experience pondicherry restaurant amazing courteous staff frequently visiting restaurant visit something new experience whole range world cuisine prepared host chefs around world,Highly recommended place for world cuisine,1
relaxing 3 nights stay bkc mumbai india sofitel great hotel friendly staff friendly hotel lovely restaurant wonderful breakfast big reading library great swimming pool 2 nd floor good spacious room will sirely stay a5 sofitel m,Wonderful Hotel in Mumbsi BKC ,1
everyone hotel interacted considerate gracious professional helpful especially delighted service kindness varun main restaurant lobby floor,"Nice stay, excellent service",1
excellent experience sofitel meeting room best hotel melting best experience excellent location located city centre boardroom extremely clean comfortable thank pratik dhakrao treat well guest help whole meeting thank much sofitel banquet team,Meeting,1
really impressed professional service clinton team arranged everything perfectly promptly impromptu requests made team managed things well wish team good luck hope future meetings,Professional and courteous service,1
always amazing experience visit guys must say employees working got commendable commitment towards job kind warm welcome time visit makes us feel awesome way attended makes worthwhile experience time review goes sweet smiling front desk girl name pooja dont words efforts make sure great experience hotel truly respect commitment towards job thank pooja visit soon regards,As always,1
engagement event sofitel bkc great experience sofitel bqt staff sofitel bqt excellent specially akshay pratik dhakrao sachin kabse thank guy support,Social Event,1
always pleasure staying sofitel staff welcoming right door housekeeping know preferences sofitel place stay whenever mumbai found last visit 5 years gm mr chakraborty going leave hotel deserved superlative create hotel best hotel mumbai,Always a pleasure,1
great experience sofitel mumbai bkc staff good terms service polite great thanks akshay sachin mahesh g mahesh really great experience happy visit,Review on Sofitel Mumbai BKC,1
great time sofitel mumbai came training whole three day enjoyed lot food hospitality provide thank staff members attained treat well shinglai mahesh gmahesh special thanks akhshay treaed well help everything need thank sofitel mumbai,Training,1
best hotel food best place stay great staff best service best experience training excellent hotel excellent location located city centerextremely clean comfortable upon arrival warmly welcomed friendly reception staff,Great experience,1
super food fresh authentic even better service considerate staff thank enjoyable experience staff accommodating preferences loved ambience attention food pure veg fine dining mumbai 7 star property,dinner at the Tuskers -the pure veg restaurant at Sofitel,1
excellent variety dishes different courses even better service throughout tusker restaurant pure vegetarian excellent variety dishes menu difficult select dishes,Restaurant Dinner,1
sometimes happens everything perfect airport pickup arranged spot checking process made efficiency smile perfect room dinners plenty dishes choose indian cuisine french asian italian menus available 247 rooms fantastic perfectly kept special thanks prakash kind experience congratulations entire staff,Wonderful stay,1
beautiful nicely maintained luxurious rooms facilities great choice foods five different restaurants varieties food buffet suggestion renovate swimming pool area,Great Hospitality,1
visited mumbai time chose sofitel mumbai bkc accor member priority check room fantastic check efficient overall location hotel quieter part bkc complex small technical error room duty manager arundhati swiftly came rescue moved us immidiately suite surprised us wedding anniversary decoration cake cookies chocolates breakfast spread awesome lots variety ill definitely return sofitel bkc go extra mile ensure guest satisfied,Amazing Hotel,1
food really great set menu mother eat sweets restaurant arranged sugar free sweets set menu really sweet got cake celebrate birthday special mention prakash hospitality great place must visit,An excellent place for vegetarian food,1
highly recommended place party mood place good music huge beautiful ambience great staaf good services bar tender clinton fernandes sofitel hotel bkc mumbai,Reviews,1
stay good staff helpful friendly one light working solved within minute housekeeping staff helpful room clean rajesh ninad house keeping staff always thanm,Smit Jadav,1
sofitel weekend break entire experience checking checkout described fabulous five star rating us five star property special mentions pooja one guest relations ambassador received us laxmi lounge waited us best attend needs including special dietary needs succeeded immensely making us feel special thank everything management sofitel please continue sustain service levels,"Great warmth, service and care",1
amazing service mr ashish housekeeping always ready smiling faceand say help anything elseand beautiful towel art made thank much best service willing come sofitel,Amazing housekeeping service,1
looking break busy city mumbai look head sofitel bkc staycation stay mr yuvraj gave us warm welcome sweet give us nice upgrade gold member pleasant relaxing time lounge kids good time pool forget food always great will return back soon thanks yuvraj team sofitel memorable stay,Staycation,1
tuskers place whenever outing family peaceful good hospitality good ambience even better good food sit relax enjoy moments unlike normal restaurants chaotic price per 5 star worth every penny great time cheers team tuskers,Good Food with Good Hospitality & ambience,1
excellent food authentic taste curteious staff helpful chefs add met banquet manager sachin world manager really memorable evening society bkc,EAM seminar,1
satisfactory stays sofitel past albeit occasion somewhat overwhelmed decor cuisine time round lent magic touch service manner young man front office umesh umesh amongst best front office hotel professionals come across pretension genuine sincere willingness promptly respond guests needshis goodness humaneness pierces fakeness hospitality industry known sofitel got gem umesh thank good luck sofitel,Awesome UMESH,1
many times good hotel except times rate crazy expensive around inr 8000 decent price bf included traffic horrendous mumbai hotel best work bkc close bkc far mumbai concerned better stay closer work,Sofitel Mumbai BKC,1
mumbai attend business event along colleague must mention urvi anam concierge desk supported way stay seamless forgot collect one luggage airport urvi made easy arrived room within couple hours day left helped luggage delivered directly airport seamlessly guided us well see around mumbai awesome service will surely recommend well located within city breakfast great well,Awesome customer service,1
organised event wonderfully managed jhonyclintonmahesh chef deepak durga courtesyambience perfect business meetwill definitely come event plan,Excellent,1
wonderful experience reception liked tiny garland offer member well maintained rooms amenities food great gymnasium goodi loved food pool sideoverall fantastic stay,I had been to Sofitel to attend a certification program and stayed there for 3 days,1
took staycation city relaxing weekend staff kind room comfortable end trip didnt want go back home even though business hotel felt resort club lounge great breakfast buffet good well bar serves great cocktails really good time little baby managed go swimming pool ball time highly recommend property visiting mumbai work leisure,What a fabulous property and experience,1
stayed luxury hotels one far hotel label value buck wife us visa appointment best options either trident chose based images saw online pleased wronged way room wasnt spacious room lived sure pleasant seating near window one relaxing experiences wife loved restaurants really nice dinner jyran hope got right back khau galli festival going menu inspired based upcoming eid didnt find food particularly mind,Stylish and Luxurious Stay,1
stayed weekendhad good timecooperative courteous staffgood roomshad peaceful calm stay hitchesspecial mention kitchen helped midnight sweet cravingby dishing something greatall accor memberi dnt regret taking membership first stay group hotels,Good times,1
service fantastic place quality european food includes fresh pizza hummous stylish salads ishaan housekeeping went beyond providing excellent service conference facilities business centre excellent trendy comfortable extremely soft bed linen amazing nights sleep,Stylish European luxury in Mumbai,1
always pleasure visiting restaurant entire team staff pleasing warm smile service excellent suggestions perfect leave without one mocktail menu superb special thanks pradeep made visit memorable recent visit dinner,Tuskers - A must visit,1
good food amenities room service cleanliness maintained times staffspecial mention mr vijay d friendly polite location hotel chauffeur service excellent business travel,Amazing stay at Sofitel,1
excellent environment foe business meetings restaurants well designed serves excellent food hotel staff well groomed courtious understand requirements well different occassions,Excellent business meeting,1
hotel room extremely clean give wow experience enter inside coffee maker tv sofa view makes ur day top staff extremely polite go step ahead make sure everything alright rajesh hotel staff bath set loved completely,Awesome experience,1
wonderful event managed help sofitel staff sol mention followingakshay pratik d rahul sachin sanjeet appreciate efforts taken help us make event successful,Event on APREA Outlook investors Summit,1
one best hotels bkc mumbai fabulous stay 7 days great breakfast much variety staff always welcoming helpful room used spic span everyday used back work looked got new room everyday room service fantastic special mention vikashdang excellent job made stay comfortable,Fantastic Stay in Sofitel,1
organized ctbuh india conference sofitel july 5th attended 130 delegates industry kudos sachinclintonmayur cmahesh nishantdurgesh akshay shingade staff sofitel excellent support cooperation first time dealt sofitel conference impressed definitely recommend organizers consider sofitel events conferences,CTBUH India - Challenges in Elevatoring in India,1
best hotel mumbaiat club millesime quiet crew best deepak rizvin excellent food great spa beautiful mr parag shah manger rooms guy call theres problem mrharsh mrdhruv wonderful well,Best  hotel for business,1
fabulous place stay great service variety cuisine choose efficient staff check well check turkish food festival starting michelin starred chefs extraordinarily done lounge well appointed stocked jiran bar amongst best seen far exclusive collection gin,Prashant Ruia,1
staying sofitel bkc without doubt one favorite hotels stayed time india upon arrival warmly welcomed staff staff extremely friendly two great evenings obviously added experience atmosphere sofitel special really felt home respect mr parag shah great true sample excellent hospitality beyond expectation,sample of excellent hospitality,1
second visit sofitel mumbai usual ensured stay comfortable time traveling friend made reservation hotel team spoke lady called supriya helpful went overboard offered good deal ensuring cake placed room prior checkin celebrating special day feeling family rooms nicely made breakfast good smiling faces ready serve will surely back amenities room made day surprise friend special thanks ms supriya keep,"No guests, it's a family",1
good hotel stay clean well maintained hotel staff vijay made sure stay comfortable always available help whenever required stayed thus opted disappointed keep good work service,Comfortable Stay,1
stayed sofitel greeted intoxicating scent french vanilla lobbymy checkin flawlessly facilitated sophisticated suave gentleman mr myron fernandesfront office executive mr paresh helpful responsive whole stay rooms elegantly done french sensibilities fitted top notch amenitiesoverall comfort levels room high dattatreya landage room service rohit ird made stay comfortable food jyran awesome exclusivein view jyran serves best northwest frontier cuisine mumbaimanager jyranmr richard extremely pleasant gentleman demeanour guided selecting signature dishes jyranassorted chicken kebabs tikkasmutton nihari phirni,French Legend,1
agreable stay sofitel charming french touch design combined delicate choice food match needs indian french even theme buffet pondichery cafe choice stuff professional anticipate needs especially elton restaurant manager pondichery cafe always service kind great massage spa loccitane products swimming pool cozy hotel well located business district advantage hotel close reputated international schools expat families stay long possible finding appartment close convenient enjoyable stay,Stay at Sifitel BKC Mumbai,1
amazing experience sofitel first time thisll go destination next business trips stay started room upgrade right bat cool indian traditional welcome room cozy extremely professional 14th floor awesome lounge called club millesime daily 68 pm snacks complementary drinks great food collection decent drinks favorite part stay bar tender ambassador deepak kumbhar made stay amazing treat customer service easily rank among best im frequent traveler travel world sofitel deepaks service will definitely rank best one find anywhere highly recommended hotel anyone around area,Fantastic,1
hotel pretty new area developed mainly business use wouldnt know hotel 25 mins drive airport elegant well built hotel lovely design touches incredibly helpful staff example concierge asked going visit next departure day printed guide popped door really well appointed rooms chose suite huge elegant great bars restaurants within hotel highly recommended indeed,"Beautiful, elegant hotel and fantastic staff",1
5th visit hotel wifes birthday celebration amazing feeling staying property visited property many times every time visit hotel new surprise every time visit hotel hotel staff friendly helpful hotel know delicious cuisines best food town restaurant jyran serves best biryani town best business meetings conference together good hotel thank yuvraj front office team making special,Best Luxury Hotel In Mumbai,1
best hotel mumbai feel home everyone welcoming service top notch one kind staff always takes care us manager parag shah always around making sure happy content best cuisine endless selection gym innovative spa welcoming thank best stay imagine,Best hotel 👳🏿‍♂️,1
never judge book cover magnifique hotel may quite impress outside given many new establishments going new glitzy vestige warm hospitable environment sofitel will understand keep rating establishment highly travel around world find places clinical make professional clinical warmth exude dealing gusts customers every single one employees need commended bharat front office whose always warm accommodating yuvraj sterling job front office myron merwyn club guys awesome evenings club,MAGNIFIQUE ON ALL FRONTS,1
hosted conference sofitel experience satisfying specially thank staff toes day long smile face uday jhony rahul shetye sanjeet team taking care event thank,Conference at Sofitel BKC,1
best option bkc mumbai hospitality 55 food 45 staff attitude 55 club millesime 55 tried club 14th floor pondicherry cafe ground floor food great good spread cafe special thanks purvashi showed us room made airport transfer booking us nilesh shailesh chauffeurs,Excellent choice for business travellers,1
recently returned sofitel bkc always warm welcome everyone team greeting airport check across facilities thanks vijay housekeeping keeping accommodation high standard,Back to Mumbai,1
pondicherry café cant go turkey certainly turkey mumbai pondicherry cafebkc hotelier restaurateur sunday brunch represents great opportunity profit hand hotelier lazy person idea brunch allows late linger sunday newspapers steaming cup hot tea move directly lunch without breakfast recently pondicherry café turkish food festival headed chef hakan chef mehmet happens extensive brunch ive attended delicious turkish cuisine gorge tried range chicken shawrama cerkez tavugu muhamarra kebabs best,Turkish Food Festival at Sofitel,1
pondicherry cafe sofitel provided perfect ambience evening meal family friends combination festive atmosphere varied food choices made great outing children loved food specially continental choices staff courteous service prompt love come back soon,Dinner with friends,1
anand picked airport made feel home stepped car offered cold refreshments hes careful driver made feel assured even oriented place first time mumbai great customer service sincere trying provide excellent services customers well done anand keep good work,Great service by Anand of sofitel bkc,1
first things first love aroma hotel long day work soon enter lobby french aroma will soothe nerves rooms extremely spacious wonderfully designed well equipped day day chores housekeeping laundry room dining services responsivei overwhelmed services two housekeeping staffs vidya ninad properly arranged decorated ganesh idol flowers shout wonderful women entrance security checks truly appreciate services bathtub big enough separation bath areas convenient food delicious especially pondicherry cafe artisan will definitely wanna,A truly magnifique week,1
sofitel hotel best foodview rooms quite spaciouswe best experience trip home away homethe staff friendly alsoi thank nagesh chef pareshravi gymand lastly manohar rajesh housekeepingyou guys made stay special,Best Hotel,1
good staff specially kanchan buffet area members gaurav marshal specially got special food made us variety choices wide ambience good enjoyed lunch dessert,Lunch @ Pondicherry Cafe,1
beautiful hotel beautiful rooms perfect staff great food plenty choices four dinning restaurants girl name ruhi reception polite n good helped recovered lost iphone cable second best person mrrichard punjabi restaurant polite n great host loved hotel ambience perfect stay memories,Excellent and awesome,1
stayed parents month may memorable stay mom celebrating birthday cake flowers family picture decorated chocolates comfortable rooms modern amenities delicious food great service smooth check check great time definitely recommend hotel,Memorable Stay,1
stayed lovely nights wonderful hotel staff incredible service culture nothing much trouble upgraded stay access club lounge definitely recommend option chance club completely spoiled rotten whole team great space meet colleagues long work day food drinks delicious felt james bond movie set cocktail trolley wheeled love although staff delightful need especially commend divya noticed indian pickle brought sample outofthisworld amazing home made pickle mother makes truly went,Amazing service makes this hotel special,1
stayed times sofitel bkc need say great hotel ideally located great service mahadev concierge truly exemplary comes customer service looks details even small already looking forward next visit hemandra,Great location and service,1
great team club lounge helpful really spoiled us nothing much trouble room nice clean well serviced used hotel car service drivers excellent,Lovely service,1
stayed sofitel bkc 12 days definitely satisfied aspects initially little sceptical food due stories hear india ate hotel practically everyday breakfast dinner problems food generally quite good room colors little strong liking spacious decent working table inroom meals weekend work staff courteous willing help kudos everyone friendly demeanor made stay memorable one although hotel near office quite far sightseeing places,Very attentive staff and overall excellent service,1
pleasant perfect stay special thanks miss arundhati duty manager guiding booking nd best deals guidance nd hospitality check truly appreciated nd made unforgettable stay warm welcome miss ruhi made stay start well beautiful rooms smiling staff contributed make memorable stay nice lounge 14th floor highly recommended hotel,Fantastic A perfect Weekend,1
chose place based reviews super happy outstanding food one best paneer tikka paneer lover super courteous staff mix traditional modern ambience basit arranged complimentary cake comped famous dal makhni id visit highly recommended,Birthday Dinner,1
wanted say big thank team sofitel bkc coming new innovative cuisines restaurant pondicherry café celebrated fathers day yesterday 1672019 pondicherry cafe turkish food festival always greeted warm hospitality mention accor ambassador 2019 made feel special staff especially mr deepesh gave us recommendation half buffet wherein u order speciality dishes dimsums desserts selection food enough flavours unique small dance performance turkish troupe added entertainment thanks hope visit soon dr roheet khatavkar mumbai,Lovely Fathers Day Buffet Dinner,1
true fans sofitel bakery patisserie artisan smell puffs croissants stimulate appetite service friendly warm promised deliver croissants puffs time party person time bags,Delightfully Delicious Bakery,1
sofitel never fails impress going extra mile today fathers day impressive sunday buffet extended way lobby cant pin point better turkish food festival decor special photo booth worlds best dads pleasure take worlds best dad today special shout sea food lovers sushi lobsters excellent turkish kebabs sausages grills desserts needs special mention,Fathers day special,1
sofitel one favourite placeits 4 years visiting propertygreat staff awesome servicethank u yuvraj nice serviceits always nice met nice friendly helpful person uthank u great hospitalityshall visit soon,Birthday stay,1
large elegant rooms excellent friendly service real home home chaos mumbai good jazz singer bistro great club lounge surprisingly good indian red wines second visit welcomed back nicely,Oasis of calm in Mumbai,1
staff always take good care helpful friendlyevery time visit feel welcomed looked food great always enjoy big variety choose breakfast buffet thank,as always i was very pleased with service of the staff,1
room large desk sleep well king size bed shower bath spacious furnished excellent amenities breakfast make sure breakfast package large selection breakfast foods great masala tea service awesome service shilpa welcomed front desk helpful showing room providing recommendations cool activities bombay highly recommend,Great hotel,1
sofitel continuous journey delight guests providing unparalleled luxury captivating environs ensconced lap nature wrapped graciousness indian hospitality hotel wonderful staff help one sense distinction taste enjoy senses sofitel become iconic landmark surpassing expectations every visit laced better better tastes luxury curated offers time time allows discover explore pamper rejuvenate celebrate rejoice restaurants super staff offers service smile one gets pampered extend stay spa known spa helps rejuvenate relief stress 247 therapist one best,THE TASTE of MAGNIFICENCE LUXURY,1
hotel beautifulhotel positive food jyran restaurantall best will keep coming sofitel hotel nice service positive staffrooms beautifulhigh floor excellent,Nice hotel,1
wife needed hotel close airport time good rooms facilities soon arrived checkin service staff impeccable got room believe eyes quality decor spaciousness cleanliness view awe hotel gem staff second none stay exceptional recommend anyone stay want best,An incredible hotel,1
staying thoroughly disappointed chose hotel value money starting toiletries stuff room clearly told checked dont want people asking payment use services took deposit 5000 dinner served bought credit card machine service guy insisted room credit next dinner disaster ordered vegetarian thali ready pay 2000 per person even send said supposed 3 subzi one yellow dal butter naan plus sweet end meal seemed interested charge provide decent meal upset say least extremely,Disappointing to say the least,-1
stayed sofitel 10 11 jun carrying four large bags drop back airport yogesh dropped airport mumbai rains started unable medicine earlier day yogesh helped searching four pharmacies along way airport till found medicine willingness go beyond duty help find medicine obviously much appreciated look forward seeing helpful staff sofitel especially yogesh next stay mumbai,helpful staff at Sofitel - Vare Yogesh,-1
cricket season plan host special match screening friends colleagues bkc artisan place dont think twice gathering around 100 pax went combination finger foods beer food awesome entirely different special mention mock chilly chicken special thanks trevor fernandes restaurant ambassador wonderful support professionalism thanks chef jomal curating delicious menu last least akshay bartender prompt service ensuring guests didnt wait refill overall fantastic experience,"Great Experience at Artisan, Sofitel",1
incredible hotel top tier choice anyone visiting mumbai particularly special amazing staff personal service give specifically treatment deputy manager anand extremely notable always makes responsibility ensure feel home away home lounge particular noteworthy incredible selection entire staff floor always looking serve pleasure look forward coming back,Amazing hotel,1
stay absolutely amazing beautiful rooms clean great amenities special mention courteous staff hotel kind left behind belonging received safely thanks mr paresh ambwani thank much,Great time at Sofitel,1
define persian lost love will say love found wonderful place tandoor dining sofitel though afternoon dining busy happening place wide range veg non veg menu went marvelous starters veg dishes meticulously developed chefs sadaab vijay pawar everything excellent melting mouth lengthy session eating smiling asif helping us large servings choice fixed veg non veg menu 4000 5000 per person signature dish particularly appreciated paratdaar paneer daal makhani biryani never missed,Sunday lunch,1
lovely feeling see smiling faces levels service starts kind service security beautiful bonjour entrance door welcoming us hotellobby reception welcome drink janhavi us quick check ease hungry went buffet lunch pondicherry cafe excellent service zaid along colleagues amit pranali sakina gaurav sous chef jomal lopespasta live counter known jlo among colleagues dinner artisan love ambience special mention jay knowledgeable food served artisan colleagues including sous chef jomal lopes sumptuous breakfast pondicherry cafe special us vaibhav took care,"Smiling faces at Sofitel, BKC",1
fag end career required spending large portion hotels across world hesitation saying sofitel bkc rates amongst best stayed apart cozy charm hotelthe clinical efficiency handling operations smallest level detail usual service arrangements personal touch management front line executives differentiator returning guest many times time space observe consistency sustainability sure now ingrained work culture ethic property will outlive inevitable key management executives professional movements time simply brilliant experience,"Charming hotel, personal touch",1
good location easy access good connectivity surround business destinations extremely supportive staff business friendly comfortable rooms amenities 1 min away us consulate amazing food,Amazing staff support,1
sofitel one best luxury hotel room well designed creatively organized room quiet spaces comfortable front desk receptionist staffroom services housekeeping welcoming warm friendly varieties dishes available international cushion pondicherry buffet live soothing music refreshing memories popular songs chek check hazzle free first foremost staff hotel couple friendly comfort zone best relaxation place safety privacy measure accurately hotel surrounded zone security covered cctv surveillance sofitel one best luxury hotel value money love staying sofitel every weekends feel pampered demand,"We Love staying in Sofitell  Hotel  BKC,  It is one of our most delighted stay in a Luxuries Royal way",1
mumbai known extreme heat may june stay hotel sofitel comfortable made stay cool experience excellent getaway place beat heat moreover food service excellent,Beat the heat at Sofitel,1
good food good ambience superb service great time thanks staff hospitality overall fantastic experience enjoyed resturant overall food quality etc excellent thanks yeshwant mulgaonkar family,Dinner at jyran,1
corporation team good meeting room mark per requirement room services time happy thankful special mention akshay sachin uday tanmay smita mahadik,Meeting room booking,1
